City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Porto Novo,BJ,79.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
521,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
532,Ende,ID,77.4,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
539,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
551,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
553,Lafia,NG,77.72,broken clouds,8.4833,8.5167,Low Cost Housing Estate
560,San Jose Iturbide,MX,87.58,few clouds,21.0,-100.3833,Los Arcos
562,Tamandare,BR,76.37,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
565,Half Moon Bay,US,81.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
567,Arlit,NE,86.2,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
568,Asyut,EG,76.14,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
572,Nhulunbuy,AU,79.41,clear sky,-12.2333,136.7667,East Arnhem Real Estate
575,Hirara,JP,75.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
580,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
584,Banamba,ML,87.03,scattered clouds,13.55,-7.45,Kassela de Banamba
600,Namli,IN,80.17,clear sky,23.4333,75.05,Patidar Samaj Dharamshala
601,Ocampo,MX,81.88,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
603,Narasannapeta,IN,83.17,overcast clouds,18.4167,84.05,AVK events and catering
610,Katobu,ID,77.47,overcast clouds,-4.9408,122.5276,La Ode Husein
611,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
614,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
616,Zhuhai,CN,78.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
625,Venice,US,86.05,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
627,Kyabe,TD,80.01,overcast clouds,9.4515,18.9449,
629,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
641,Diffa,NE,87.44,few clouds,13.3154,12.6113,ProDAF/Diffa
