City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Faya,SA,18.3851,42.4509,68.52,15,1,7.7,clear sky
230,Port-Gentil,GA,-0.7193,8.7815,77.76,86,100,7.14,light rain
231,Mao,ES,39.8885,4.2658,66.76,82,0,5.75,clear sky
232,Isla Mujeres,MX,21.2311,-86.731,86.16,85,33,16.64,scattered clouds
233,Pauini,BR,-7.7136,-66.9764,76.71,71,98,0.67,overcast clouds
234,Prince Rupert,CA,54.3161,-130.3201,50.09,90,100,13.8,mist
235,Bambous Virieux,MU,-20.3428,57.7575,75.22,83,40,6.91,scattered clouds
236,Marataizes,BR,-21.0433,-40.8244,68.68,65,0,8.14,clear sky
237,Maxixe,MZ,-23.8597,35.3472,72.14,89,95,8.81,overcast clouds
238,Boyolangu,ID,-8.1181,111.8935,74.86,91,100,1.99,overcast clouds
239,Kenai,US,60.5544,-151.2583,69.03,22,0,14.97,clear sky
240,Buchanan,LR,5.8808,-10.0467,77.85,88,99,9.93,light rain
241,Dinar,TR,38.065,30.1656,55.36,50,1,5.86,clear sky
242,Hambantota,LK,6.1241,81.1185,78.71,85,66,15.1,broken clouds
243,Carutapera,BR,-1.195,-46.02,74.35,93,100,2.8,moderate rain
244,Matagami,CA,49.7502,-77.6328,64.51,82,75,10.36,moderate rain
245,Vostok,RU,46.4856,135.8833,58.6,57,65,4.23,broken clouds
246,Alice Springs,AU,-23.7,133.8833,42.35,93,6,0.0,clear sky
247,Padang,ID,-0.9492,100.3543,77.04,87,48,3.67,scattered clouds
248,Bikin,RU,46.8161,134.26,57.99,75,100,6.2,overcast clouds
249,Honningsvag,NO,70.9821,25.9704,40.75,65,75,6.91,broken clouds
250,Eureka,US,40.8021,-124.1637,71.67,65,11,10.0,few clouds
251,Pevek,RU,69.7008,170.3133,33.24,97,79,5.03,broken clouds
252,Nong Bua,TH,15.8646,100.5858,77.52,85,100,7.63,overcast clouds
253,Asosa,ET,10.0667,34.5333,65.68,73,100,2.33,overcast clouds
254,Iralaya,HN,15.0,-83.2333,80.67,83,100,15.32,overcast clouds
255,Gat,IL,31.61,34.7642,78.4,31,99,8.08,overcast clouds
256,Benxi,CN,41.2886,123.765,66.52,72,40,7.29,scattered clouds
257,Vila,PT,42.0304,-8.1588,65.7,65,99,6.55,overcast clouds
258,Talnakh,RU,69.4865,88.3972,40.21,81,92,8.5,overcast clouds
259,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,12.66,light intensity drizzle
260,Matara,LK,5.9485,80.5353,76.77,92,48,8.7,scattered clouds
261,Bonthe,SL,7.5264,-12.505,79.7,83,96,7.29,overcast clouds
262,Lengshuitan,CN,26.4111,111.5956,63.77,96,100,0.56,overcast clouds
263,Mweka,CD,-4.85,21.5667,72.28,90,100,2.53,overcast clouds
264,Boralday,KZ,43.3578,76.8594,62.46,72,75,2.24,broken clouds
265,Xicotencatl,MX,23.0167,-98.8833,107.02,21,26,9.26,scattered clouds
266,Littleton,US,39.6133,-105.0166,37.9,93,100,8.05,snow
267,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,88,20,6.24,few clouds
268,Leua,SK,48.2156,18.6071,67.23,84,61,2.86,broken clouds
269,Shirhatti,IN,15.2333,75.5833,67.78,90,100,9.19,overcast clouds
270,Keti Bandar,PK,24.1447,67.4497,81.61,87,1,19.62,clear sky
271,Fort Nelson,CA,58.8053,-122.7002,58.59,18,40,4.61,scattered clouds
272,Zlobin,HR,45.2924,14.6541,57.61,64,0,3.44,clear sky
273,Teguise,ES,29.0605,-13.564,64.62,73,20,17.27,few clouds
274,Lavrentiya,RU,65.5833,-171.0,35.64,95,40,7.96,scattered clouds
275,College,US,64.8569,-147.8028,73.0,30,0,1.01,clear sky
276,Kautokeino,NO,69.0125,23.0412,32.56,99,99,0.6,overcast clouds
277,Novopokrovka,UA,49.8425,36.5477,52.29,96,100,6.69,light rain
278,Cumberland,US,35.0502,-78.8664,95.86,31,0,16.11,clear sky
279,Soe,ID,-9.8607,124.284,65.39,92,92,5.14,overcast clouds
280,Sorland,NO,67.667,12.6934,46.26,98,100,12.24,overcast clouds
281,Aklavik,CA,68.2191,-135.0107,50.0,50,100,3.44,overcast clouds
282,Sursk,RU,53.0754,45.6846,33.67,87,1,7.61,clear sky
